english,minihongo,japanese,english_litteral,example_minihongo,example_english,page,category
punishment / penalty,悪いことをした人に与える悪いこと,刑罰,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
newspaper,毎日の事が書いてある本,新聞,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
broadcast,多くの人に音や光で言葉を出すこと,放送,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
advertisement,物を買ってほしいと言うこと,広告,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
information,人に知らせること,情報,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
communication / telecommunications,人に言葉を出すこと,通信,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
technology / technique,物を作るための知ること,技術,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
industry,多くの物を作ること,産業,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
trade / commerce,国と国で物を買ったり与えたりすること,貿易,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
environment,人の外にある水や空気や土,環境,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
pollution / contamination,水や空気が悪くなること,汚染,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
resources,人が使える物,資源,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
population,その場所にいる人の多さ,人口,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
discrimination,ある人を他の人より悪くすること,差別,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
equality,全部の人が良いとすること,平等,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
democracy,全部の人が国のことを選べること,民主主義,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
revolution,国のやることを大きく変えること,革命,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
colony,他の国が持っている場所,植民地,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
immigrant / migration,他の国に行ってそこにいる人,移民,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
refugee,怖いので国から出た人,難民,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 社会と文化 (Society & Culture)
town,多くの人がいる場所,町,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
city,とても多くの人がいる大きい場所,市,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
village,人が少しだけいる場所,村,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
station,人が来る物を待つ場所,駅,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
shop/store,物を買う場所,店,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
hospital,体が悪い人を助ける場所,病院,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
bank,お金を守る場所,銀行,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
post office,書いた物を他の人に与える場所,郵便局,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
library,本を読む場所,図書館,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
art museum,きれいな物を見る場所,美術館,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
museum,国の物を見る場所,博物館,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
theater,人が見せる事をする場所,劇場,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
cinema/movie theater,大きい光の物を見る場所,映画館,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
park,外で楽しくいられる場所,公園,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
plaza/square,多くの人が来る外の場所,広場,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
bridge,水の上を行く道,橋,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
tower,高くて長い物,塔,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
castle,強い人が守る大きい家,城,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
Buddhist temple,人が心の事を考える場所,寺,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
Shinto shrine,この国の心に言う場所,神社,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
church,人が心に良いことを聞く場所,教会,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
factory,物を作る場所,工場,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
warehouse,物を中に入れて守る場所,倉庫,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
harbor/port,海を動く物が来る場所,港,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
airport,空を動く物が出る場所,空港,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
road,物が速く動く道,道路,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
intersection,道と道が会う場所,交差点,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
traffic light,赤と青の光で動くのを止める物,信号,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
stairs,上に行くための道,階段,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
entrance,中に入るための場所,入口,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
exit,外に出るための場所,出口,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
window,家にあって外が見えるもの,窓,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
door,開いたり閉めたりする物,扉,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
gate,外と中の入り口にある大きい物,門,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
roof,家の一ばん上にある物,屋根,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
wall,家の外にある石や木でできた物,壁,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
floor,家の中で足が上にある下の物,床,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
ceiling,家の中の一ばん上,天井,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
garden/yard,家の外にある草の場所,庭,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
kitchen,家の中で食べ物を作る場所,台所,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
living room,家の中で人が楽しくいる場所,居間,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
bedroom,家の中で寝る場所,寝室,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
underground/basement,土の下,地下,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
above ground,土の上,地上,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
island,海の中にある土の場所,島,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
desert,水がなくて暑い場所,砂漠,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
forest,木が多くある場所,森,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
valley,山と山の下にある場所,谷,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
river,山から海へ水が動く道,川,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 場所と建物 (Places & Buildings)
car,道を速く動く物,車,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
train,道の上を動く長い物,電車,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
bus,多くの人が中に入る大きい物,バス,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
airplane,空を動く物,飛行機,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
ship/boat,海を動く物,船,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
bicycle,足を使って動かす物,自転車,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
taxi,お金を与えて中に入る物,タクシー,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
truck,重い物を持って動く大きい物,トラック,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
highway/expressway,速く動ける大きい道,高速道路,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
railway system,長い物が動く道,鉄道,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
railroad tracks,長い物が上を動く道,線路,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
driving,物を動かすこと,運転,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
departure,場所を出ること,出発,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
arrival,場所に来ること,到着,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
travel/trip,他の場所に行くこと,旅行,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
sightseeing,他の場所を見ること,観光,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
guidance/guide,道や場所を教えること,案内,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
map,場所を書いた物,地図,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
ticket,中に入るために買う物,切符,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
passport,他の国に行くときに必要な本,パスポート,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
luggage/baggage,行く時に持って行く物,荷物,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
seat,座る場所,座席,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
speed,どのくらい速いかということ,速度,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
distance,二つの場所がどのくらい近くないか,距離,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
direction,どちらに行くかということ,方向,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
traffic/transportation,道を人や物が動くこと,交通,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
traffic jam,物が動けなくなること,渋滞,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
accident,悪いことが起こること,事故,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
fare,中に入るために与えるお金,運賃,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
one-way,行くだけで来ない道,片道,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
round trip,行って来ること,往復,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
destination,行きたい場所,目的地,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
foreign country,他の国,外国,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
returning to home country,もとの国に来ること,帰国,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
lost child,道が見えなくなった子供,迷子,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
on the way/midway,始まりと終わりの前,途中,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
passenger,物の中に入る人,乗客,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
driver,物を動かす人,運転手,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
final stop/terminus,動く物が止まって終わる場所,終点,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 乗り物と旅 (Transport & Travel)
snow,空から白くて寒い水が来ること,雪,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
ice,寒くなった水,氷,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
fog/mist,白い空気で何も見えなくなること,霧,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
cloud,空にある白い水の物,雲,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
rainbow,雨の後に空に出る色の光,虹,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
thunder/lightning,空で大きい音と光が起こること,雷,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
typhoon,強い風と雨が来ること,台風,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
earthquake,土が動くこと,地震,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
flood,水が多くなって場所が水の中に入ること,洪水,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
disaster,外で起こる悪いこと,災害,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
lake,山や土の中にある大きい水,湖,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
pond,山や土の中にある水,池,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
waterfall,高い場所から水が下に出てくること,滝,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
spring/fountain,土の中から水が出てくる場所,泉,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
grove/woodland,木が多くある場所,林,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
field/farmland,食べ物を作る土の場所,畑,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
rice paddy,水を使って食べ物を作る場所,田んぼ,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
sand,海や山にある石でできた物,砂,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
flower,草や木にある色のある物,花,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
cherry blossom,白や赤の色の木の物,桜,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
leaf,木の緑の物,葉,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
root,木や草の土の中にある物,根,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
seed,草や木になる前の物,種,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
fruit/berry,木にある食べられる物,実,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
bird,空を動く動物,鳥,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
fish,水の中で生きる動物,魚,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
insect/bug,足が多い動物,虫,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
dog,人と生きる動物,犬,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
cat,家にいる動物,猫,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
horse,大きくて強い動物で人が上に座るもの,馬,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
cow,白と黒の大きい動物,牛,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
snake,足がなくて長い動物,蛇,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
bear,大きくて強くて怖い動物,熊,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
egg,空を動く動物が作る物,卵,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
feather/wing,空を動く動物が使う物,羽,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
season,年の中で暑さや寒さが変わる時,季節,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
spring,寒い時の後で暑くなる前の時,春,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
summer,年で一ばん暑い時,夏,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
autumn/fall,暑い時の後で寒くなる前の時,秋,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
winter,年で一ばん寒い時,冬,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
sunrise,太陽が空に出てくること,日の出,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
sunset,太陽が下に入ること,日の入り,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
morning,太陽が出てきた後の時,朝,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
tide,海の水が上に来たり下に行ったりすること,潮,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
wave,海の水が動くこと,波,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 自然と天気 (Nature & Weather)
"cooking, dish",火で作った食べ物,料理,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
meal,食べる事,食事,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
breakfast,朝に食べる物,朝食,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
lunch,昼に食べる物,昼食,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
dinner,夜に食べる物,夕食,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
packed lunch,外で食べるために作った食べ物,弁当,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"sweets, snacks",とても好きな甘い食べ物,お菓子,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
bread,小むぎで作った食べ物,パン,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
rice (uncooked),日ほんで多く食べる白い食べ物,米,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"cooked rice, meal",水で作った米の食べ物,ご飯,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
meat,動物の体の食べ物,肉,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
fish,水の中にいる動物,魚,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
vegetables,土から出る食べる草,野菜,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
fruit,木からもらう甘い食べ物,果物,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
egg,動物から出る丸くて白い物,卵,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
salt,海の水から作る白い物,塩,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
sugar,食べ物を甘くする白い物,砂糖,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
soy sauce,黒い色の食べ物に使う水,醤油,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"taste, flavor",口で感じる事,味,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"smell, scent",鼻で感じる事,匂い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"alcohol, sake",飲むと体が変になる水,酒,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
tea,草から作った飲み物,お茶,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
juice,果物から出る甘い水,ジュース,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
milk,動物の体から出る白い飲み物,牛乳,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
coffee,黒くて苦い飲み物,コーヒー,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"plate, dish",食べ物を置く物,皿,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
chopsticks,食べる時に使う二本の木,箸,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"cup, glass",飲み物を入れる物,コップ,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
bottle,水や飲み物を入れる物,瓶,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"pot, pan",火で食べ物を作る物,鍋,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
kitchen knife,食べ物を切る物,包丁,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
refrigerator,食べ物を冷たくして入れる物,冷蔵庫,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
ice,とても寒くなった水,氷,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
oil,食べ物を火で作る時に使う物,油,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
soup,水で作った温かい食べ物,スープ,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
salad,切った野菜の食べ物,サラダ,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
sweet,口で感じる良い味,甘い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
bitter,口で感じる悪い味,苦い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"spicy, hot",口に強い感じがする食べ物の味,辛い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
sour,口がとても変に感じる味,酸っぱい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
delicious,食べ物が良い味がする,美味しい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
bad-tasting,食べ物の味が悪い,まずい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"to grill, to bake",火で食べ物を作る,焼く,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"to boil, to simmer",水と火で食べ物を作る,煮る,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
to deep-fry,油と火で食べ物を作る,揚げる,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
to get hungry,食べ物が欲しくなる,腹が減る,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
to get thirsty,飲み物が欲しくなる,喉が渇く,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 食べ物と飲み物 (Food & Drink)
"illness, disease",体が悪い状態,病気,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
medicine,体を良くするために飲む物,薬,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
injury,体が壊れた事,怪我,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
"painful, hurts",体が悪く感じる,痛い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
fever,体がとても暑くなる事,熱,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
cold (illness),体が悪くて熱が出る病,風邪,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
cough,口から強く空気が出る事,咳,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
blood,体の中にある赤い水,血,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
bone,体の中にある硬い物,骨,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
skin,体の外の部分,肌,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
muscle,体を動かす物,筋肉,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
"tooth, teeth",口の中で食べ物を切る白い物,歯,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
"finger, toe",手や足の先の長い部分,指,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
shoulder,頭の下、手の上にある体の部分,肩,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
"lower back, hips",体の中ほどにある部分,腰,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
back (of body),体の後ろにある部分,背中,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
neck,頭と体をつなぐ部分,首,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 体と健康 (Body & Health)
